task,replicate,run,score,input,cache,output,runtime,theoretical_cost_usd
1_newsletter,r1,r1_1_newsletter_c4_cursor,0.756,235600,4831616,79829,1246.457,2.3996587999999996
1_newsletter,r2,r2_1_newsletter_c4_cursor,0.776,484214,2899968,74274,1133.867,2.2840624
1_newsletter,r3,r3_1_newsletter_c4_cursor,0.781,217768,4904960,77662,1236.937,2.372996
2_real-estate,r1,r1_2_real-estate_c4_cursor,0.356,383049,5474048,92339,1472.013,2.9623464
2_real-estate,r2,r2_2_real-estate_c4_cursor,0.492,495104,3365632,88442,1333.001,2.5305496
2_real-estate,r3,r3_2_real-estate_c4_cursor,0.379,15467,953216,2710,1220.75,0.3331588
3_job-board,r1,r1_3_job-board_c4_cursor,0.555,309314,4096768,89121,1407.446,2.3823844
3_job-board,r2,r2_3_job-board_c4_cursor,0.51,697706,4332800,82428,1274.364,3.18982
3_job-board,r3,r3_3_job-board_c4_cursor,0.578,354867,5859456,88075,1827.356,2.9960207999999997
4_forum,r1,r1_4_forum_c4_cursor,0.494,290147,3977472,77898,1382.014,2.2409235999999995
4_forum,r2,r2_4_forum_c4_cursor,0.486,374989,2914560,77747,1177.793,2.090828
4_forum,r3,r3_4_forum_c4_cursor,0.457,310806,3874560,76116,1216.808,2.240676
5_travel-booking,r1,r1_5_travel-booking_c4_cursor,0.506,295247,3385856,65108,1063.02,1.9968987999999999
5_travel-booking,r2,r2_5_travel-booking_c4_cursor,0.486,265960,3200256,62925,1037.383,1.8695467999999997
5_travel-booking,r3,r3_5_travel-booking_c4_cursor,0.505,361539,3264256,72285,1124.908,2.1360647999999998
6_chat,r1,r1_6_chat_c4_cursor,0.492,500331,4163456,78231,1301.06,2.7190847999999996
6_chat,r2,r2_6_chat_c4_cursor,0.347,663596,5315328,81700,1319.591,3.4119904
6_chat,r3,r3_6_chat_c4_cursor,0.297,422958,5152768,87903,1329.705,2.9191644
7_cloud-storage,r1,r1_7_cloud-storage_c4_cursor,0.74,277823,7328256,105393,1575.659,3.3864807999999997
7_cloud-storage,r2,r2_7_cloud-storage_c4_cursor,0.724,230644,4197120,84175,1211.02,2.225474
7_cloud-storage,r3,r3_7_cloud-storage_c4_cursor,0.684,437897,3697152,87012,1275.885,2.5070116
8_ecommerce,r1,r1_8_ecommerce_c4_cursor,0.748,497861,4903040,71916,1311.951,2.89813
8_ecommerce,r2,r2_8_ecommerce_c4_cursor,0.749,637367,3169536,66833,1053.231,2.6265927999999996
8_ecommerce,r3,r3_8_ecommerce_c4_cursor,0.59,253883,2684928,65714,939.579,1.7075284
9_project-management,r1,r1_9_project-management_c4_cursor,0.649,486466,3041408,66707,1036.204,2.2855963999999998
9_project-management,r2,r2_9_project-management_c4_cursor,0.637,271756,2869632,64575,967.275,1.7918516
9_project-management,r3,r3_9_project-management_c4_cursor,0.56,237816,3348736,62626,925.39,1.8560088
10_streaming_music-streaming,r1,r1_10_streaming_music-streaming_c4_cursor,0.375,419739,4259072,67418,1088.594,2.5217075999999996
10_streaming_music-streaming,r2,r2_10_streaming_music-streaming_c4_cursor,0.42,438252,3674112,77909,1169.792,2.4461915999999997
10_streaming_music-streaming,r3,r3_10_streaming_music-streaming_c4_cursor,0.443,202193,3010432,66881,1045.146,1.7088016000000001
