task,r1_score,r2_score,r3_score,score_mean,score_sample_sd,input_mean,cache_mean,output_mean,runtime_mean_s,runtime_sample_sd_s,theoretical_cost_mean_usd,theoretical_cost_sample_sd_usd
1_newsletter,0.756,0.776,0.781,0.771,0.013228756555322964,312527.3333333333,4212181.333333333,77255,1205.7536666666667,62.43738650306671,2.3522390666666664,0.060529080897477126
2_real-estate,0.356,0.492,0.379,0.409,0.07279423054061358,297873.3333333333,3264298.6666666665,61163.666666666664,1341.9213333333332,125.86879300419673,1.9420182666666665,1.4099410295238497
3_job-board,0.555,0.51,0.578,0.5476666666666666,0.03458805188693535,453962.3333333333,4763008,86541.33333333333,1503.0553333333332,288.62760866094106,2.8560750666666666,0.421517103147065
4_forum,0.494,0.486,0.457,0.479,0.01946792233393177,325314,3588864,77253.66666666667,1258.8716666666667,108.41387480545711,2.1908092,0.08658634760468861
5_travel-booking,0.506,0.486,0.505,0.499,0.011269427669584655,307582,3283456,66772.66666666667,1075.1036666666666,44.996307141068,2.0008367999999996,0.13330263299725179
6_chat,0.492,0.347,0.297,0.37866666666666665,0.10128343069492332,528961.6666666666,4877184,82611.33333333333,1316.7853333333333,14.52714116174731,3.0167465333333334,0.3566107782825043
7_cloud-storage,0.74,0.724,0.684,0.716,0.028844410203711878,315454.6666666667,5074176,92193.33333333333,1354.188,194.52228647895342,2.7063221333333334,0.6056217581418067
8_ecommerce,0.748,0.749,0.59,0.6956666666666667,0.09151138362702936,463037,3585834.6666666665,68154.33333333333,1101.587,190.8375058734525,2.4107504,0.6239583309075695
9_project-management,0.649,0.637,0.56,0.6153333333333334,0.048294237061302994,332012.6666666667,3086592,64636,976.2896666666667,55.954301088775395,1.9778189333333331,0.2684665031596554
10_streaming_music-streaming,0.375,0.42,0.443,0.4126666666666667,0.03458805188693537,353394.6666666667,3647872,70736,1101.1773333333333,63.26856673999601,2.225566933333333,0.44912189199073016
